levelName	taxon	n	group
living                                                                    	living	128	""
 ¦--Bacteria                                                              			""
 ¦   ¦--Cyanobacteria                                                     			""
 ¦   ¦   °--Cyanophyceae                                                  			""
 ¦   ¦       °--Trichodesmium                                             	Trichodesmium	98961	""
 ¦   ¦           ¦--like                                                  	like<Trichodesmium	1450	""
 ¦   ¦           ¦--puff                                                  	puff	43341	""
 ¦   ¦           °--tuff                                                  	tuff	48113	""
 ¦   °--Proteobacteria                                                    			""
 ¦       °--Cyanobacteria                                                 			""
 ¦           °--Nostocales                                                			""
 ¦               °--Nostocaceae                                           			""
 ¦                   ¦--Aphanizomenon                                     	Aphanizomenon	689	""
 ¦                   ¦--Dolichospermum                                    	Dolichospermum	179	""
 ¦                   °--Nodularia                                         	Nodularia	501	""
 ¦--duplicate                                                             	duplicate	25151	""
 ¦--Eukaryota                                                             			""
 ¦   ¦--Harosa                                                            	Harosa	1	""
 ¦   ¦   ¦--Alveolata                                                     			""
 ¦   ¦   ¦   °--Myzozoa                                                   			""
 ¦   ¦   ¦       °--Holodinophyta                                         			""
 ¦   ¦   ¦           °--Dinophyceae                                       	Dinophyceae	174	""
 ¦   ¦   ¦               °--Gonyaulacales                                 			""
 ¦   ¦   ¦                   °--Pyrocystaceae                             			""
 ¦   ¦   ¦                       °--Pyrocystis                            			""
 ¦   ¦   ¦                           °--Pyrocystis lunula                 	Pyrocystis lunula	1	""
 ¦   ¦   ¦--Rhizaria                                                      	Rhizaria	6157	""
 ¦   ¦   ¦   ¦--Cercozoa                                                  			""
 ¦   ¦   ¦   ¦   °--Thecofilosea                                          			""
 ¦   ¦   ¦   ¦       °--Phaeodaria                                        	Phaeodaria	1623	""
 ¦   ¦   ¦   ¦           ¦--Castanellidae                                 	Castanellidae	3236	""
 ¦   ¦   ¦   ¦           ¦--leg                                           	leg<Phaeodaria	1357	""
 ¦   ¦   ¦   ¦           ¦--like                                          	like<Phaeodaria	346	""
 ¦   ¦   ¦   ¦           ¦--Phaeocalpida                                  			""
 ¦   ¦   ¦   ¦           ¦   °--Tuscaroridae                              	Tuscaroridae	83	""
 ¦   ¦   ¦   ¦           ¦--Phaeocystida                                  			""
 ¦   ¦   ¦   ¦           ¦   °--Aulacanthidae                             	Aulacanthidae	189	""
 ¦   ¦   ¦   ¦           ¦       ¦--Aulacantha                            	Aulacantha	19462	""
 ¦   ¦   ¦   ¦           ¦       ¦--Aulographis                           	Aulographis	757	""
 ¦   ¦   ¦   ¦           ¦       ¦--spines                                	spines	378	""
 ¦   ¦   ¦   ¦           ¦       °--star                                  	star	72	""
 ¦   ¦   ¦   ¦           ¦--Phaeodendrida                                 			""
 ¦   ¦   ¦   ¦           ¦   °--Coelodendridae                            	Coelodendridae	71	""
 ¦   ¦   ¦   ¦           ¦       ¦--Coelodendrum                          	Coelodendrum	317	""
 ¦   ¦   ¦   ¦           ¦       ¦--Coelographis                          	Coelographis	2200	""
 ¦   ¦   ¦   ¦           ¦       ¦   °--like                              	like<Coelographis	50	""
 ¦   ¦   ¦   ¦           ¦       ¦--leg                                   	leg<Coelodendridae	240	""
 ¦   ¦   ¦   ¦           ¦       °--pennate                               	pennate	2	""
 ¦   ¦   ¦   ¦           ¦--Phaeogromida                                  			""
 ¦   ¦   ¦   ¦           ¦   °--Medusettidae                              	Medusettidae	426	""
 ¦   ¦   ¦   ¦           ¦--Phaeosphaerida                                			""
 ¦   ¦   ¦   ¦           ¦   ¦--Aulosphaeridae                            	Aulosphaeridae	35781	""
 ¦   ¦   ¦   ¦           ¦   ¦   ¦--Aulatractus                           	Aulatractus	244	""
 ¦   ¦   ¦   ¦           ¦   ¦   °--colonial                              	colonial<Aulosphaeridae	822	""
 ¦   ¦   ¦   ¦           ¦   ¦       °--like                              	like<colonial	1237	""
 ¦   ¦   ¦   ¦           ¦   °--Cannosphaeridae                           	Cannosphaeridae	342	""
 ¦   ¦   ¦   ¦           ¦       ¦--colonial                              	colonial<Cannosphaeridae	56	""
 ¦   ¦   ¦   ¦           ¦       °--like                                  	like<Cannosphaeridae	813	""
 ¦   ¦   ¦   ¦           ¦--sphere                                        	sphere	304	""
 ¦   ¦   ¦   ¦           °--unknown                                       	unknown	497	""
 ¦   ¦   ¦   ¦--Retaria                                                   			""
 ¦   ¦   ¦   ¦   ¦--Acantharea                                            	Acantharea	15561	""
 ¦   ¦   ¦   ¦   ¦   °--like                                              	like<Acantharea	663	""
 ¦   ¦   ¦   ¦   ¦--Foraminifera                                          	Foraminifera	2906	""
 ¦   ¦   ¦   ¦   ¦   °--Globothalamea                                     			""
 ¦   ¦   ¦   ¦   ¦       °--Rotaliida                                     			""
 ¦   ¦   ¦   ¦   ¦           °--Globigerinacea                            			""
 ¦   ¦   ¦   ¦   ¦               ¦--Globigerina                           	Globigerina	174	""
 ¦   ¦   ¦   ¦   ¦               °--Hastigerina                           	Hastigerina	107	""
 ¦   ¦   ¦   ¦   °--Polycystinea                                          			""
 ¦   ¦   ¦   ¦       °--Collodaria                                        	Collodaria	24	""
 ¦   ¦   ¦   ¦           ¦--colonial                                      	colonial<Collodaria	2734	""
 ¦   ¦   ¦   ¦           ¦--solitaryblack                                 	solitaryblack	6228	""
 ¦   ¦   ¦   ¦           ¦--solitaryfuzzy                                 	solitaryfuzzy	1	""
 ¦   ¦   ¦   ¦           ¦--solitaryglobule                               	solitaryglobule	1867	""
 ¦   ¦   ¦   ¦           °--solitarygrey                                  	solitarygrey	30	""
 ¦   ¦   ¦   ¦--rhizaria like                                             	rhizaria like	641	""
 ¦   ¦   ¦   ¦--rhizaria temporary                                        	rhizaria temporary	37485	""
 ¦   ¦   ¦   °--Rhizaria X                                                	Rhizaria X	1717	""
 ¦   ¦   °--Stramenopiles                                                 			""
 ¦   ¦       °--Ochrophyta                                                			""
 ¦   ¦           °--Bacillariophyta                                       			""
 ¦   ¦               ¦--Bacillariophytina                                 			""
 ¦   ¦               ¦   °--Bacillariophyceae                             			""
 ¦   ¦               ¦       °--Diatoma                                   	Diatoma	56466	""
 ¦   ¦               °--Coscinodiscophytina                               			""
 ¦   ¦                   ¦--Coscinodiscids                                			""
 ¦   ¦                   ¦   °--Coscinodiscus                             	Coscinodiscus	22	""
 ¦   ¦                   °--Melosirids                                    			""
 ¦   ¦                       °--Melosira                                  	Melosira	13	""
 ¦   °--Opisthokonta                                                      			""
 ¦       °--Holozoa                                                       			""
 ¦           °--Metazoa                                                   	Metazoa	26	""
 ¦               ¦--Annelida                                              	Annelida	2795	""
 ¦               ¦   °--Polychaeta                                        	Polychaeta	1	""
 ¦               ¦       ¦--Errantia                                      			""
 ¦               ¦       ¦   ¦--Alciopidae                                	Alciopidae	69	""
 ¦               ¦       ¦   °--Tomopteridae                              	Tomopteridae	3	""
 ¦               ¦       °--Sedentaria                                    			""
 ¦               ¦           °--Canalipalpata                             			""
 ¦               ¦               °--Terebellida                           			""
 ¦               ¦                   ¦--Flota                             	Flota	312	""
 ¦               ¦                   ¦   °--Flota sp.                     	Flota sp.	10	""
 ¦               ¦                   ¦--Poeobius                          	Poeobius	386	""
 ¦               ¦                   °--Swima                             	Swima	21	""
 ¦               ¦--Arthropoda                                            	Arthropoda	10	""
 ¦               ¦   ¦--Crustacea                                         	Crustacea	6557	""
 ¦               ¦   ¦   ¦--Branchiopoda                                  			""
 ¦               ¦   ¦   ¦   °--Diplostraca                               			""
 ¦               ¦   ¦   ¦       °--Cladocera                             	Cladocera	26	""
 ¦               ¦   ¦   ¦--larvae                                        	larvae<Crustacea	57	""
 ¦               ¦   ¦   ¦--leg                                           	leg<Crustacea	3	""
 ¦               ¦   ¦   ¦--Malacostraca                                  			""
 ¦               ¦   ¦   ¦   °--Eumalacostraca                            	Eumalacostraca	12506	""
 ¦               ¦   ¦   ¦       ¦--Amphipoda                             	Amphipoda	227	""
 ¦               ¦   ¦   ¦       ¦   °--Gammaridea                        			""
 ¦               ¦   ¦   ¦       ¦       °--Stegocephalidae               			""
 ¦               ¦   ¦   ¦       ¦           °--Stegocephalus             			""
 ¦               ¦   ¦   ¦       ¦               °--Stegocephalus inflatus	Stegocephalus inflatus	1	""
 ¦               ¦   ¦   ¦       ¦--Decapoda                              	Decapoda	24	""
 ¦               ¦   ¦   ¦       ¦   ¦--like                              	like<Decapoda	1	""
 ¦               ¦   ¦   ¦       ¦   °--Pleocyemata                       			""
 ¦               ¦   ¦   ¦       ¦       °--Anomura                       			""
 ¦               ¦   ¦   ¦       ¦           ¦--Galatheidae               	Galatheidae	2	""
 ¦               ¦   ¦   ¦       ¦           °--Munididae                 			""
 ¦               ¦   ¦   ¦       ¦               °--Pleuroncodes          	Pleuroncodes	507	""
 ¦               ¦   ¦   ¦       ¦--Euphausiacea                          	Euphausiacea	527	""
 ¦               ¦   ¦   ¦       °--Isopoda                               	Isopoda	15	""
 ¦               ¦   ¦   ¦           °--Asellota                          			""
 ¦               ¦   ¦   ¦               °--Munnopsis                     	Munnopsis	68	""
 ¦               ¦   ¦   ¦--Maxillopoda                                   			""
 ¦               ¦   ¦   ¦   °--Copepoda                                  	Copepoda	89479	""
 ¦               ¦   ¦   ¦       ¦--badfocus                              	badfocus<Copepoda	11	""
 ¦               ¦   ¦   ¦       ¦--Calanoida                             			""
 ¦               ¦   ¦   ¦       ¦   ¦--Clausocalanidae                   			""
 ¦               ¦   ¦   ¦       ¦   ¦   °--Pseudocalanus                 	Pseudocalanus	1310	""
 ¦               ¦   ¦   ¦       ¦   ¦--Eucalanidae                       	Eucalanidae	1183	""
 ¦               ¦   ¦   ¦       ¦   °--Temoridae                         			""
 ¦               ¦   ¦   ¦       ¦       °--like                          	like<Temoridae	286	""
 ¦               ¦   ¦   ¦       ¦--Copepoda X                            	Copepoda X	2	""
 ¦               ¦   ¦   ¦       ¦--Cyclopoida                            			""
 ¦               ¦   ¦   ¦       ¦   °--Oithonidae                        			""
 ¦               ¦   ¦   ¦       ¦       °--Oithona                       	Oithona	1	""
 ¦               ¦   ¦   ¦       ¦--Harpacticoida                         	Harpacticoida	61	""
 ¦               ¦   ¦   ¦       ¦--like                                  	like<Copepoda	93342	""
 ¦               ¦   ¦   ¦       ¦--ovigerous                             	ovigerous	41	""
 ¦               ¦   ¦   ¦       °--Poecilostomatoida                     			""
 ¦               ¦   ¦   ¦           °--Sapphirinidae                     	Sapphirinidae	52	""
 ¦               ¦   ¦   ¦--Oligostraca                                   			""
 ¦               ¦   ¦   ¦   °--Ostracoda                                 	Ostracoda	8854	""
 ¦               ¦   ¦   °--tail                                          	tail	179	""
 ¦               ¦   °--Hexapoda                                          			""
 ¦               ¦       °--Insecta                                       			""
 ¦               ¦           °--Pterygota                                 			""
 ¦               ¦               °--Velinus                               			""
 ¦               ¦                   °--Velinus sp.                       	Velinus sp.	1	""
 ¦               ¦--Chaetognatha                                          	Chaetognatha	6349	""
 ¦               ¦--Chordata                                              			""
 ¦               ¦   ¦--Craniata                                          			""
 ¦               ¦   ¦   °--Vertebrata                                    			""
 ¦               ¦   ¦       °--Gnathostomata                             	Gnathostomata	511	""
 ¦               ¦   ¦           °--Actinopterygii                        	Actinopterygii	7	""
 ¦               ¦   ¦               °--Teleostei                         	Teleostei	2	""
 ¦               ¦   °--Tunicata                                          	Tunicata	57	""
 ¦               ¦       ¦--Appendicularia                                	Appendicularia	1535	""
 ¦               ¦       ¦   ¦--body                                      	body	331	""
 ¦               ¦       ¦   ¦--Fritillariidae                            			""
 ¦               ¦       ¦   ¦   °--Fritillaria                           	Fritillaria	13	""
 ¦               ¦       ¦   °--house                                     	house	8046	""
 ¦               ¦       ¦--larvae                                        	larvae<Tunicata	1	""
 ¦               ¦       °--Thaliacea                                     			""
 ¦               ¦           ¦--Doliolida                                 	Doliolida	1752	""
 ¦               ¦           ¦--Pyrosomatida                              			""
 ¦               ¦           ¦   °--Pyrosoma                              	Pyrosoma	561	""
 ¦               ¦           °--Salpida                                   	Salpida	267	""
 ¦               ¦               ¦--larvae                                	larvae<Salpida	173	""
 ¦               ¦               °--like                                  	like<Salpida	27	""
 ¦               ¦--Cnidaria                                              	Cnidaria<Metazoa	3989	""
 ¦               ¦   ¦--Cnidaria X                                        	Cnidaria X	1	""
 ¦               ¦   ¦--Cubozoa                                           	Cubozoa	1	""
 ¦               ¦   ¦--Hydrozoa                                          	Hydrozoa	8049	""
 ¦               ¦   ¦   ¦--Cnidaria                                      	Cnidaria<Hydrozoa	21	""
 ¦               ¦   ¦   ¦--Hydroidolina                                  			""
 ¦               ¦   ¦   ¦   ¦--Anthoathecata                             			""
 ¦               ¦   ¦   ¦   ¦   °--Corynidae                             	Corynidae	18	""
 ¦               ¦   ¦   ¦   ¦       °--Sarsia                            	Sarsia	10	""
 ¦               ¦   ¦   ¦   °--Siphonophorae                             	Siphonophorae	1934	""
 ¦               ¦   ¦   ¦       °--part                                  	part<Siphonophorae	2573	""
 ¦               ¦   ¦   °--Trachylina                                    			""
 ¦               ¦   ¦       ¦--Narcomedusae                              	Narcomedusae	1972	""
 ¦               ¦   ¦       ¦   °--Aeginidae                             			""
 ¦               ¦   ¦       ¦       °--Solmundella                       	Solmundella	2	""
 ¦               ¦   ¦       ¦           °--Solmundella bitentaculata     	Solmundella bitentaculata	167	""
 ¦               ¦   ¦       °--Trachymedusae                             			""
 ¦               ¦   ¦           ¦--Halicreatidae                         	Halicreatidae	64	""
 ¦               ¦   ¦           °--Rhopalonematidae                      			""
 ¦               ¦   ¦               °--Aglantha                          			""
 ¦               ¦   ¦                   °--Aglantha digitale             	Aglantha digitale	27	""
 ¦               ¦   ¦--like                                              	like<Cnidaria	1	""
 ¦               ¦   ¦--part                                              	part<Cnidaria	296	""
 ¦               ¦   °--Scyphozoa                                         	Scyphozoa	182	""
 ¦               ¦--Ctenophora                                            	Ctenophora	2019	""
 ¦               ¦   ¦--Cyclocoela                                        			""
 ¦               ¦   ¦   ¦--Beroida                                       			""
 ¦               ¦   ¦   ¦   °--Beroidae                                  			""
 ¦               ¦   ¦   ¦       °--Beroe                                 	Beroe	334	""
 ¦               ¦   ¦   °--Cestida                                       			""
 ¦               ¦   ¦       °--Cestidae                                  	Cestidae	61	""
 ¦               ¦   °--part                                              	part<Ctenophora	36	""
 ¦               ¦--Echinodermata                                         	Echinodermata	200	""
 ¦               ¦--Hemichordata                                          			""
 ¦               ¦   ¦--Enteropneusta                                     	Enteropneusta<Hemichordata	54	""
 ¦               ¦   °--Hemichordata X                                    			""
 ¦               ¦       °--Hemichordata XX                               			""
 ¦               ¦           °--Enteropneusta                             	Enteropneusta<Hemichordata XX	96	""
 ¦               ¦--Mollusca                                              	Mollusca	1050	""
 ¦               ¦   ¦--Cephalopoda                                       	Cephalopoda	54	""
 ¦               ¦   ¦--Gastropoda                                        			""
 ¦               ¦   ¦   ¦--Heterobranchia                                			""
 ¦               ¦   ¦   ¦   °--Euthyneura                                			""
 ¦               ¦   ¦   ¦       ¦--Euopisthobranchia                     			""
 ¦               ¦   ¦   ¦       ¦   ¦--Gymnosomata                       	Gymnosomata	120	""
 ¦               ¦   ¦   ¦       ¦   °--Thecosomata                       	Thecosomata	165	""
 ¦               ¦   ¦   ¦       ¦       ¦--Cavoliniidae                  	Cavoliniidae	12	""
 ¦               ¦   ¦   ¦       ¦       ¦--Creseidae                     	Creseidae	100	""
 ¦               ¦   ¦   ¦       ¦       °--Limacinidae                   	Limacinidae	984	""
 ¦               ¦   ¦   ¦       ¦           °--Limacina                  	Limacina	1	""
 ¦               ¦   ¦   ¦       °--Nudipleura                            			""
 ¦               ¦   ¦   ¦           °--Nudibranchia                      			""
 ¦               ¦   ¦   ¦               °--Aeolidiidae                   	Aeolidiidae	2	""
 ¦               ¦   ¦   °--Nudibranchia                                  	Nudibranchia	1	""
 ¦               ¦   °--veliger                                           	veliger	3051	""
 ¦               °--Platyhelminthes                                       	Platyhelminthes	2	""
 ¦--other                                                                 	other<living	3329	""
 ¦   ¦--egg                                                               	egg	2	""
 ¦   ¦   °--like                                                          	like<egg	124	""
 ¦   ¦--gelatinous                                                        	gelatinous	1516	""
 ¦   ¦--othertocheck                                                      	othertocheck	37035	""
 ¦   ¦   °--darksphere                                                    	darksphere	25738	""
 ¦   °--part                                                              	part<other	1901	""
 ¦--artefact                                                              	artefact	57714	""
 ¦   ¦--badfocus                                                          	badfocus<artefact	1538202	""
 ¦   ¦--bubble                                                            	bubble	39082	""
 ¦   ¦--htm                                                               	htm	1	""
 ¦   °--turbid                                                            	turbid	9771	""
 ¦--detritus                                                              	detritus	4515912	""
 ¦   ¦--compact                                                           	compact	339037	""
 ¦   ¦--dark                                                              	dark<detritus	31393	""
 ¦   ¦--fiber                                                             	fiber	537403	""
 ¦   ¦   °--fluffy                                                        	fluffy<fiber	9904	""
 ¦   ¦--fluffy                                                            	fluffy<detritus	39152	""
 ¦   ¦   ¦--dark                                                          	dark<fluffy	624553	""
 ¦   ¦   °--light                                                         	light<fluffy	307694	""
 ¦   ¦--light                                                             	light<detritus	17262	""
 ¦   ¦--ovoid                                                             	ovoid	8894	""
 ¦   °--temp cross                                                        	temp cross	196	""
 ¦--feces                                                                 	feces	174171	""
 ¦--plastic                                                               			""
 ¦   °--other                                                             	other<plastic	40	""
 ¦--t001                                                                  	t001	10752	""
 ¦--t002                                                                  	t002	1906	""
 ¦--t003                                                                  	t003	308	""
 ¦--t004                                                                  	t004	5367	""
 ¦--t005                                                                  	t005	1589	""
 ¦--t006                                                                  	t006	184	""
 ¦--t007                                                                  	t007	498	""
 ¦--t008                                                                  	t008	11	""
 ¦--t009                                                                  	t009	14	""
 ¦--t010                                                                  	t010	5	""
 ¦--t011                                                                  	t011	9	""
 ¦--t012                                                                  	t012	9	""
 ¦--t013                                                                  	t013	4457	""
 ¦--t014                                                                  	t014	916	""
 ¦--t015                                                                  	t015	62	""
 ¦--t016                                                                  	t016	207	""
 ¦--t017                                                                  	t017	206	""
 ¦--t018                                                                  	t018	50	""
 ¦--t019                                                                  	t019	391	""
 °--t020                                                                  	t020	388	""
